ORF.1	ORF.2
YLR248W	YDL160C
YOR095C	YLR088W
YHR207C	YHR133C
YMR080C	YDR297W
YOR069W	YBR213W
YER099C	YLR337C
YOR145C	YGL011C
YMR292W	YKL140W
YDL123W	YOR362C
YOR165W	YDL088C
YPL195W	YBR154C
YBR041W	YJL178C
YML035C	YGL203C
YBL102W	YCR030C
YDR068W	YDR060W
YOR341W	YLR172C
YBR057C	YFR040W
YCL063W	YPL091W
YER136W	YDR152W
YKL150W	YDR060W
YLR191W	YKR007W
YOR229W	YOR104W
YDL192W	YPL127C
YDL113C	YNL255C
YNL265C	YIL105C
YKL068W	YOL147C
YFR021W	YML075C
YIL009W	YMR266W
YOL061W	YER031C
YDR507C	YDR101C
YGL084C	YOR153W
YOR069W	YLR110C
YCR075C	YNL281W
YPL006W	YML086C
YFL047W	YIR012W
YHR016C	YKL054C
YKL150W	YHR003C
YGR183C	YPL086C
YHR207C	YOR261C
YCR095C	YGR105W
YGR036C	YNL138W
YMR261C	YNL016W
YKL172W	YDR434W
YGR281W	YKL094W
YPR010C	YGL172W
YNL016W	YFR024C-A
YLR219W	YGR082W
YDR427W	YCR021C
YOR004W	YBR244W
YGR133W	YDL199C
YOR132W	YNR051C
YFR024C-A	YGL213C
YBR244W	YCR005C
YDL204W	YDR293C
YLR447C	YGL029W
YMR120C	YDR329C
YJR133W	YGL002W
YKR007W	YNL110C
YLR028C	YOR104W
YMR125W	YGR250C
YNL030W	YNL112W
YER112W	YFL041W
YOR104W	YDR503C
YMR054W	YHR063C
YHR072W	YBR036C
YGR065C	YLR258W
YLR360W	YLL021W
YPR062W	YCR028C-A
YGR163W	YPR029C
YHR207C	YAR002C-A
YIL047C	YFR003C
YLR056W	YHR063C
YJR010W	YLR330W
YJL109C	YOL077C
YML067C	YJL016W
YPR139C	YDR162C
YER159C	YER095W
YJL036W	YNL238W
YHR187W	YDR297W
YOL100W	YPL263C
YPR156C	YDL047W
YKL130C	YDL147W
YOR117W	YJL068C
YKL051W	YEL013W
YDL160C	YOR362C
YJL148W	YIL034C
YBR080C	YDL212W
YLR270W	YIL128W
YFR021W	YIL038C
YJL005W	YML007W
YDR101C	YJL117W
YJL068C	YLR370C
YHR074W	YGR082W
YGR281W	YGL049C
YOR340C	YLL021W
YKL193C	YOR362C
YDR093W	YAR002W
YLR113W	YPR139C
YNR006W	YGL049C
YBR068C	YMR250W
YGR080W	YMR238W
YNL322C	YBR102C
YBR213W	YOR270C
YLR144C	YPL094C
YBR213W	YDR503C
YPL246C	YDL131W
YDL058W	YNR031C
YPL265W	YDR105C
